Data,Tipo,Dias úteis,Taxa,Valor futuro,Valor presente,Ativo
15/06/2027,J,534,"21,172","0,000000","0,000000",RALM11
15/12/2027,J,661,"3,872","48,674933","38,226283",RALM11
15/12/2027,A,661,"0,500","6,285577","4,936303",RALM11
16/06/2028,J,787,"3,841","48,042977","36,031496",RALM11
16/06/2028,A,787,"1,250","15,714183","11,785396",RALM11
15/12/2028,J,912,"3,810","47,055826","33,714773",RALM11
15/12/2028,A,912,"1,250","15,714384","11,259113",RALM11
15/06/2029,J,1035,"3,748","45,700065","31,303697",RALM11
15/06/2029,A,1035,"1,550","19,484813","13,346735",RALM11
17/12/2029,J,1161,"3,841","46,087451","30,147908",RALM11
17/12/2029,A,1161,"1,550","19,485441","12,746317",RALM11
17/06/2030,J,1285,"3,779","44,605942","27,885627",RALM11
17/06/2030,A,1285,"1,600","20,113371","12,573974",RALM11
16/12/2030,J,1412,"3,872","44,926968","26,812155",RALM11
16/12/2030,A,1412,"1,600","20,114112","12,003986",RALM11
16/06/2031,J,1534,"3,717","42,378143","24,187851",RALM11
16/06/2031,A,1534,"1,675","21,056144","12,018055",RALM11
15/12/2031,J,1663,"3,934","44,028535","23,972260",RALM11
15/12/2031,A,1663,"1,675","21,056760","11,464795",RALM11
15/06/2032,J,1787,"3,779","41,494477","21,591273",RALM11
15/06/2032,A,1787,"1,775","22,314303","11,611044",RALM11
15/12/2032,J,1914,"3,872","41,653567","20,690790",RALM11
15/12/2032,A,1914,"1,775","22,313750","11,084023",RALM11
15/06/2033,J,2040,"3,841","40,462321","19,194259",RALM11
15/06/2033,A,2040,"1,900","23,885157","11,330489",RALM11
15/12/2033,J,2166,"3,841","39,544919","17,914592",RALM11
15/12/2033,A,2166,"1,900","23,885170","10,820431",RALM11
15/06/2034,J,2290,"3,779","38,002942","16,453059",RALM11
15/06/2034,A,2290,"2,025","25,457092","11,021437",RALM11
15/12/2034,J,2416,"3,841","37,649738","15,566361",RALM11
15/12/2034,A,2416,"2,025","25,456715","10,525130",RALM11
15/06/2035,J,2539,"3,748","35,782674","14,143923",RALM11
15/06/2035,A,2539,"2,175","27,341999","10,807553",RALM11
17/12/2035,J,2665,"3,841","35,621799","13,446481",RALM11
17/12/2035,A,2665,"2,175","27,342690","10,321291",RALM11
16/06/2036,J,2787,"3,717","33,453942","12,077327",RALM11
16/06/2036,A,2787,"2,300","28,913720","10,438245",RALM11
15/12/2036,J,2916,"3,934","34,273217","11,803146",RALM11
15/12/2036,A,2916,"2,300","28,913594","9,957378",RALM11
15/06/2037,J,3038,"3,717","31,304665","10,310571",RALM11
15/06/2037,A,3038,"2,400","30,170836","9,937130",RALM11
15/12/2037,J,3165,"3,872","31,443971","9,886622",RALM11
15/12/2037,A,3165,"2,400","30,170986","9,486370",RALM11
15/06/2038,J,3289,"3,779","29,547246","8,878524",RALM11
15/06/2038,A,3289,"2,400","30,170572","9,065825",RALM11
15/12/2038,J,3415,"3,841","28,874035","8,285657",RALM11
15/12/2038,A,3415,"2,400","30,170898","8,657803",RALM11
15/06/2039,J,3540,"3,810","27,491105","7,536437",RALM11
15/06/2039,A,3540,"2,475","31,113232","8,529411",RALM11
15/12/2039,J,3667,"3,872","26,734681","6,996580",RALM11
15/12/2039,A,3667,"2,475","31,113270","8,142476",RALM11
15/06/2040,J,3793,"3,841","25,325154","6,329342",RALM11
15/06/2040,A,3793,"2,600","32,684979","8,168733",RALM11
17/12/2040,J,3919,"3,841","24,069761","5,744787",RALM11
17/12/2040,A,3919,"2,600","32,684690","7,800933",RALM11
17/06/2041,J,4043,"3,779","22,445489","5,119699",RALM11
17/06/2041,A,4043,"2,750","34,570639","7,885383",RALM11
16/12/2041,J,4170,"3,872","21,660347","4,716477",RALM11
16/12/2041,A,4170,"2,750","34,570815","7,527693",RALM11
16/06/2042,J,4292,"3,717","19,507027","4,062320",RALM11
16/06/2042,A,4292,"2,600","32,684765","6,806571",RALM11
15/12/2042,J,4421,"3,934","19,362168","3,846417",RALM11
15/12/2042,A,4421,"2,600","32,684903","6,493063",RALM11
15/06/2043,J,4543,"3,717","17,077422","3,244557",RALM11
15/06/2043,A,4543,"2,725","34,256235","6,508378",RALM11
15/12/2043,J,4670,"3,872","16,464312","2,986164",RALM11
15/12/2043,A,4670,"2,725","34,256549","6,213177",RALM11
15/06/2044,J,4795,"3,810","14,895038","2,580870",RALM11
15/06/2044,A,4795,"2,850","35,827868","6,207911",RALM11
15/12/2044,J,4921,"3,841","13,640350","2,257073",RALM11
15/12/2044,A,4921,"2,850","35,827830","5,928444",RALM11
15/06/2045,J,5045,"3,779","12,065940","1,908071",RALM11
15/06/2045,A,5045,"2,975","37,399212","5,914198",RALM11
15/12/2045,J,5171,"3,841","10,827781","1,635191",RALM11
15/12/2045,A,5171,"2,975","37,399087","5,647940",RALM11
15/06/2046,J,5294,"3,748","9,163583","1,323020",RALM11
15/06/2046,A,5294,"3,100","38,970607","5,626499",RALM11
17/12/2046,J,5420,"3,841","7,894507","1,088483",RALM11
17/12/2046,A,5420,"3,100","38,970531","5,373201",RALM11
17/06/2047,J,5543,"3,748","6,242547","0,822868",RALM11
17/06/2047,A,5543,"3,250","40,856318","5,385524",RALM11
16/12/2047,J,5671,"3,903","4,906566","0,617198",RALM11
16/12/2047,A,5671,"3,250","40,856318","5,139325",RALM11
