Dados do evento,Data de pagamento,Prazos (dias úteis),Dias entre pagamentos,Expectativa de juros (%),Juros projetados,Amortizações,Fluxo descontado (R$),Ativo
Juros,16/06/2025,37.0,37.0,-,"39,133553","0,00000000","38,679855",CDES11
Juros,15/12/2025,165.0,128.0,-,"41,096195","0,00000000","39,013685",CDES11
Juros,15/06/2026,287.0,122.0,-,"39,133553","0,00000000","35,749148",CDES11
Juros,15/12/2026,414.0,127.0,-,"40,768837","0,00000000","35,781737",CDES11
Juros,15/06/2027,537.0,123.0,-,"39,46041","0,00000000","33,316462",CDES11
Juros|Amortização,15/12/2027,664.0,127.0,-,"40,768837","10,263277","41,395918",CDES11
Juros|Amortização,16/06/2028,790.0,126.0,-,"40,037163","10,160645","39,133822",CDES11
Juros|Amortização,15/12/2028,915.0,125.0,-,"39,316145","10,059038","37,005532",CDES11
Juros|Amortização,15/06/2029,1038.0,123.0,-,"38,288396","9,958448","34,784922",CDES11
Juros|Amortização,17/12/2029,1164.0,126.0,-,"38,84802","9,858863","33,749397",CDES11
Juros|Amortização,17/06/2030,1288.0,124.0,-,"37,837389","20,496577","38,87089",CDES11
Juros|Amortização,16/12/2030,1415.0,127.0,-,"37,956572","21,021679","37,758223",CDES11
Juros|Amortização,16/06/2031,1537.0,122.0,-,"35,632541","20,559203","34,617303",CDES11
Juros|Amortização,15/12/2031,1666.0,129.0,-,"36,887971","20,1069","33,713156",CDES11
Juros|Amortização,15/06/2032,1790.0,124.0,-,"34,651371","20,558392","31,405581",CDES11
Juros|Amortização,15/12/2032,1917.0,127.0,-,"34,689506","20,958833","30,41304",CDES11
Juros|Amortização,15/06/2033,2043.0,126.0,-,"33,585182","20,455821","28,384717",CDES11
Juros|Amortização,15/12/2033,2169.0,126.0,-,"32,779138","20,796751","27,044821",CDES11
Juros|Amortização,15/06/2034,2293.0,124.0,-,"31,442656","20,276833","25,107083",CDES11
Juros|Amortização,15/12/2034,2419.0,126.0,-,"31,160668","87,778412","55,490695",CDES11
Juros|Amortização,15/06/2035,2542.0,123.0,-,"27,029749","87,877262","51,571089",CDES11
Juros|Amortização,17/12/2035,2668.0,126.0,-,"24,239105","87,965139","48,397464",CDES11
Juros|Amortização,16/06/2036,2790.0,122.0,-,"20,101042","88,038341","44,884694",CDES11
Juros|Amortização,15/12/2036,2919.0,129.0,-,"17,724038","87,827471","42,065083",CDES11
Juros|Amortização,15/06/2037,3041.0,122.0,-,"13,395334","87,827471","38,81832",CDES11
Juros|Amortização,15/12/2037,3168.0,127.0,-,"10,466316","87,739643","36,183692",CDES11
Juros|Amortização,15/06/2038,3292.0,124.0,-,"6,812971","87,871385","33,549077",CDES11
Juros|Amortização,15/12/2038,3418.0,126.0,-,"3,462497","87,871385","31,101964",CDES11
Juros,16/06/2025,37.0,123.0,-,"38,447802","0,00000000","37,917947",VAMO33
Juros,15/12/2025,165.0,128.0,-,"40,035331","0,00000000","37,632893",VAMO33
Juros,15/06/2026,287.0,122.0,-,"38,13053","0,00000000","34,239327",VAMO33
Juros,15/12/2026,414.0,127.0,-,"39,717669","0,00000000","34,005557",VAMO33
Juros,15/06/2027,537.0,123.0,-,"38,447802","0,00000000","31,43424",VAMO33
Juros,15/12/2027,664.0,127.0,-,"39,717669","0,00000000","30,961998",VAMO33
Juros,16/06/2028,790.0,126.0,-,"39,400087","0,00000000","29,296724",VAMO33
Juros,15/12/2028,915.0,125.0,-,"39,082581","0,00000000","27,729667",VAMO33
Juros|Amortização,15/06/2029,1038.0,123.0,-,"38,447802","419,431387","310,225597",VAMO33
Juros,17/12/2029,1164.0,126.0,-,"26,266736","0,00000000","16,974988",VAMO33
Juros|Amortização,17/06/2030,1288.0,124.0,-,"25,843447","419,432016","274,68476",VAMO33
Juros,16/12/2030,1415.0,127.0,-,"13,239229","0,00000000","7,787216",VAMO33
Juros|Amortização,16/06/2031,1537.0,122.0,-,"12,710182","419,432016","242,814399",VAMO33
Juros,15/10/2025,123.0,127.0,-,"32,887497","0,00000000","31,780277",VALEC0
Juros,15/04/2026,247.0,124.0,-,"32,098674","0,00000000","29,965386",VALEC0
Juros,15/10/2026,373.0,126.0,-,"32,624492","0,00000000","29,406318",VALEC0
Juros,15/04/2027,496.0,123.0,-,"31,835864","0,00000000","27,729394",VALEC0
Juros,15/10/2027,623.0,127.0,-,"32,887497","0,00000000","27,650166",VALEC0
Juros,17/04/2028,749.0,126.0,-,"32,624492","0,00000000","26,483463",VALEC0
Juros,16/10/2028,874.0,125.0,-,"32,361551","0,00000000","25,371455",VALEC0
Juros,16/04/2029,996.0,122.0,-,"31,573117","0,00000000","23,926616",VALEC0
Juros,15/10/2029,1122.0,126.0,-,"32,624492","0,00000000","23,871058",VALEC0
Juros,15/04/2030,1245.0,123.0,-,"31,835864","0,00000000","22,509789",VALEC0
Juros,15/10/2030,1373.0,128.0,-,"33,150568","0,00000000","22,618719",VALEC0
Juros,15/04/2031,1496.0,123.0,-,"31,835864","0,00000000","20,990391",VALEC0
Juros,15/10/2031,1624.0,128.0,-,"33,150568","0,00000000","21,091969",VALEC0
Juros,15/04/2032,1749.0,125.0,-,"32,361551","0,00000000","19,885682",VALEC0
Juros,15/10/2032,1876.0,127.0,-,"32,887497","0,00000000","19,506761",VALEC0
Juros,18/04/2033,2002.0,126.0,-,"32,624492","0,00000000","18,683671",VALEC0
Juros,17/10/2033,2128.0,126.0,-,"32,624492","0,00000000","18,039575",VALEC0
Juros,17/04/2034,2253.0,125.0,-,"32,361551","0,00000000","17,282115",VALEC0
Juros,16/10/2034,2378.0,125.0,-,"32,361551","0,00000000","16,690983",VALEC0
Juros,16/04/2035,2500.0,122.0,-,"31,573117","0,00000000","15,740474",VALEC0
Juros,15/10/2035,2626.0,126.0,-,"32,624492","0,00000000","15,703925",VALEC0
Juros,15/04/2036,2749.0,123.0,-,"31,835864","0,00000000","14,808394",VALEC0
Juros,15/10/2036,2877.0,128.0,-,"33,150568","0,00000000","14,880055",VALEC0
Juros,15/04/2037,3001.0,124.0,-,"32,098674","0,00000000","13,918954",VALEC0
Juros,15/10/2037,3127.0,126.0,-,"32,624492","0,00000000","13,659266",VALEC0
Juros,15/04/2038,3251.0,124.0,-,"32,098674","0,00000000","12,983047",VALEC0
Juros,15/10/2038,3377.0,126.0,-,"32,624492","0,00000000","12,740821",VALEC0
Juros,15/04/2039,3502.0,125.0,-,"32,361551","0,00000000","12,205849",VALEC0
Juros|Amortização,17/10/2039,3629.0,127.0,-,"32,887497","1.032,35033","387,818422",VALEC0
Juros,16/06/2025,37.0,123.0,-,"28,175154","0,00000000","27,856288",RIPR22
Juros,15/12/2025,165.0,128.0,-,"29,333696","0,00000000","27,88197",RIPR22
Juros,15/06/2026,287.0,122.0,-,"27,943571","0,00000000","25,582317",RIPR22
Juros,15/12/2026,414.0,127.0,-,"29,101907","0,00000000","25,621983",RIPR22
Juros,15/06/2027,537.0,123.0,-,"28,175154","0,00000000","23,885002",RIPR22
Juros,15/12/2027,664.0,127.0,-,"29,101907","0,00000000","23,725412",RIPR22
Juros,16/06/2028,790.0,126.0,-,"28,870156","0,00000000","22,641665",RIPR22
Juros,15/12/2028,915.0,125.0,-,"28,638447","0,00000000","21,612709",RIPR22
Juros|Amortização,15/06/2029,1038.0,123.0,-,"28,175154","420,642482","326,134964",RIPR22
Juros,17/12/2029,1164.0,126.0,-,"19,24678","0,00000000","13,454031",RIPR22
Juros|Amortização,17/06/2030,1288.0,124.0,-,"18,937862","420,643113","295,779014",RIPR22
Juros,16/12/2030,1415.0,127.0,-,"9,70064","0,00000000","6,277145",RIPR22
Juros|Amortização,16/06/2031,1537.0,122.0,-,"9,314528","420,643113","267,971594",RIPR22
Juros,15/08/2025,80.0,123.0,-,"32,979334","0,00000000","32,178463",PEJA22
Juros,18/02/2026,208.0,128.0,-,"34,341408","0,00000000","32,215064",PEJA22
Juros,17/08/2026,332.0,124.0,-,"33,251613","0,00000000","30,026515",PEJA22
Juros,15/02/2027,454.0,122.0,-,"32,707122","0,00000000","28,448068",PEJA22
Juros,16/08/2027,581.0,127.0,-,"34,068858","0,00000000","28,498301",PEJA22
Juros,15/02/2028,708.0,127.0,-,"34,068858","0,00000000","27,40753",PEJA22
Juros,15/08/2028,832.0,124.0,-,"33,251613","0,00000000","25,749948",PEJA22
Juros,15/02/2029,955.0,123.0,-,"32,979334","0,00000000","24,591799",PEJA22
Juros,15/08/2029,1081.0,126.0,-,"33,796374","0,00000000","24,243924",PEJA22
Juros,15/02/2030,1206.0,125.0,-,"33,523959","0,00000000","23,142271",PEJA22
Juros,15/08/2030,1330.0,124.0,-,"33,251613","0,00000000","22,096053",PEJA22
Juros,17/02/2031,1458.0,128.0,-,"34,341408","0,00000000","21,940047",PEJA22
Juros,15/08/2031,1581.0,123.0,-,"32,979334","0,00000000","20,288321",PEJA22
Juros|Amortização,16/02/2032,1707.0,126.0,-,"33,796374","353,986594","229,49719",PEJA22
Juros,16/08/2032,1834.0,127.0,-,"22,712548","0,00000000","12,927229",PEJA22
Juros|Amortização,15/02/2033,1961.0,127.0,-,"22,712548","353,985532","206,197754",PEJA22
Juros,15/08/2033,2085.0,124.0,-,"11,083859","0,00000000","5,840268",PEJA22
