Fundo,Ativo,lag,curr,lag_x,lag_y
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VAMO33,,235.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,VALEC0,,620.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
BORDEAUX INFRA,SUZBA0,,1250.0,,
