Data,Tipo,Dias úteis,Taxa,Valor futuro,Valor presente,Ativo
15/08/2025,J,73,"2,956","132,982134","18,476586",NTN-B26
18/02/2026,J,201,"2,956","132,982134","0,580278",NTN-B26
17/08/2026,J,325,"2,956","132,982134","0,020306",NTN-B26
17/08/2026,V,325,"100,000","4.498,260993","0,686863",NTN-B26
15/08/2025,J,73,"2,956","132,982134","130,182249",NTN-B28
18/02/2026,J,201,"2,956","132,982134","125,414411",NTN-B28
17/08/2026,J,325,"2,956","132,982134","120,962151",NTN-B28
15/02/2027,J,447,"2,956","132,982134","116,735985",NTN-B28
16/08/2027,J,574,"2,956","132,982134","112,493394",NTN-B28
15/02/2028,J,701,"2,956","132,982134","108,404994",NTN-B28
15/08/2028,J,825,"2,956","132,982134","104,556575",NTN-B28
15/08/2028,V,825,"100,000","4.498,260993","3.536,736443",NTN-B28
15/08/2025,J,73,"2,950","132,98","130,22",NTN-B30
18/02/2026,J,201,"2,950","132,98","125,53",NTN-B30
17/08/2026,J,325,"2,950","132,98","121,15",NTN-B30
15/02/2027,J,447,"2,950","132,98","116,99",NTN-B30
16/08/2027,J,574,"2,950","132,98","112,80",NTN-B30
15/02/2028,J,701,"2,950","132,98","108,77",NTN-B30
15/08/2028,J,825,"2,950","132,98","104,97",NTN-B30
15/02/2029,J,948,"2,950","132,98","101,34",NTN-B30
15/08/2029,J,1074,"2,950","132,98","97,74",NTN-B30
15/02/2030,J,1199,"2,950","132,98","94,30",NTN-B30
15/08/2030,J,1323,"2,950","132,98","91,01",NTN-B30
15/08/2030,V,1323,"100,000","4.498,26","3.078,66",NTN-B30
15/08/2025,J,73,"2,950","132,98","130,22",NTN-B32
18/02/2026,J,201,"2,950","132,98","125,51",NTN-B32
17/08/2026,J,325,"2,950","132,98","121,12",NTN-B32
15/02/2027,J,447,"2,950","132,98","116,95",NTN-B32
16/08/2027,J,574,"2,950","132,98","112,76",NTN-B32
15/02/2028,J,701,"2,950","132,98","108,72",NTN-B32
15/08/2028,J,825,"2,950","132,98","104,91",NTN-B32
15/02/2029,J,948,"2,950","132,98","101,27",NTN-B32
15/08/2029,J,1074,"2,950","132,98","97,67",NTN-B32
15/02/2030,J,1199,"2,950","132,98","94,22",NTN-B32
15/08/2030,J,1323,"2,950","132,98","90,92",NTN-B32
17/02/2031,J,1451,"2,950","132,98","87,64",NTN-B32
15/08/2031,J,1574,"2,950","132,98","84,59",NTN-B32
16/02/2032,J,1700,"2,950","132,98","81,59",NTN-B32
16/08/2032,J,1827,"2,950","132,98","78,66",NTN-B32
16/08/2032,V,1827,"100,000","4.498,26","2.660,97",NTN-B32
15/08/2025,J,73,"2,950","132,98","130,30",NTN-B50
18/02/2026,J,201,"2,950","132,98","125,72",NTN-B50
17/08/2026,J,325,"2,950","132,98","121,45",NTN-B50
15/02/2027,J,447,"2,950","132,98","117,38",NTN-B50
16/08/2027,J,574,"2,950","132,98","113,30",NTN-B50
15/02/2028,J,701,"2,950","132,98","109,35",NTN-B50
15/08/2028,J,825,"2,950","132,98","105,63",NTN-B50
15/02/2029,J,948,"2,950","132,98","102,07",NTN-B50
15/08/2029,J,1074,"2,950","132,98","98,54",NTN-B50
15/02/2030,J,1199,"2,950","132,98","95,17",NTN-B50
15/08/2030,J,1323,"2,950","132,98","91,93",NTN-B50
17/02/2031,J,1451,"2,950","132,98","88,70",NTN-B50
15/08/2031,J,1574,"2,950","132,98","85,71",NTN-B50
16/02/2032,J,1700,"2,950","132,98","82,75",NTN-B50
16/08/2032,J,1827,"2,950","132,98","79,87",NTN-B50
15/02/2033,J,1954,"2,950","132,98","77,09",NTN-B50
15/08/2033,J,2078,"2,950","132,98","74,47",NTN-B50
15/02/2034,J,2206,"2,950","132,98","71,85",NTN-B50
15/08/2034,J,2329,"2,950","132,98","69,43",NTN-B50
15/02/2035,J,2452,"2,950","132,98","67,09",NTN-B50
15/08/2035,J,2578,"2,950","132,98","64,77",NTN-B50
15/02/2036,J,2703,"2,950","132,98","62,55",NTN-B50
15/08/2036,J,2827,"2,950","132,98","60,42",NTN-B50
18/02/2037,J,2955,"2,950","132,98","58,30",NTN-B50
17/08/2037,J,3079,"2,950","132,98","56,32",NTN-B50
15/02/2038,J,3203,"2,950","132,98","54,40",NTN-B50
16/08/2038,J,3328,"2,950","132,98","52,54",NTN-B50
15/02/2039,J,3455,"2,950","132,98","50,71",NTN-B50
15/08/2039,J,3579,"2,950","132,98","48,98",NTN-B50
15/02/2040,J,3705,"2,950","132,98","47,29",NTN-B50
15/08/2040,J,3832,"2,950","132,98","45,65",NTN-B50
15/02/2041,J,3957,"2,950","132,98","44,08",NTN-B50
15/08/2041,J,4081,"2,950","132,98","42,58",NTN-B50
19/02/2042,J,4209,"2,950","132,98","41,09",NTN-B50
15/08/2042,J,4332,"2,950","132,98","39,70",NTN-B50
16/02/2043,J,4458,"2,950","132,98","38,33",NTN-B50
17/08/2043,J,4584,"2,950","132,98","37,01",NTN-B50
15/02/2044,J,4708,"2,950","132,98","35,75",NTN-B50
15/08/2044,J,4833,"2,950","132,98","34,52",NTN-B50
15/02/2045,J,4961,"2,950","132,98","33,31",NTN-B50
15/08/2045,J,5084,"2,950","132,98","32,19",NTN-B50
15/02/2046,J,5207,"2,950","132,98","31,10",NTN-B50
15/08/2046,J,5333,"2,950","132,98","30,03",NTN-B50
15/02/2047,J,5458,"2,950","132,98","29,00",NTN-B50
15/08/2047,J,5582,"2,950","132,98","28,01",NTN-B50
19/02/2048,J,5710,"2,950","132,98","27,03",NTN-B50
17/08/2048,J,5834,"2,950","132,98","26,11",NTN-B50
15/02/2049,J,5958,"2,950","132,98","25,22",NTN-B50
16/08/2049,J,6083,"2,950","132,98","24,36",NTN-B50
15/02/2050,J,6210,"2,950","132,98","23,51",NTN-B50
15/08/2050,J,6334,"2,950","132,98","22,71",NTN-B50
15/08/2050,V,6334,"100,000","4.498,26","768,28",NTN-B50
