Ativo;B referência;Spread Over (%);Spread (bps)
ACRC21;B35;0,82;-3,11
AEAB11;B35;0,62;8,31
AESL17;B25;;
AESLA5;B32;-0,05;-0,8
AESLA7;B33;-0,01;2,29
AESLB7;B40;0,16;0,16
AESOA1;B33;0,34;-6,13
AGVF12;B26;0,33;6,59
AHGD13;B33;0,71;1,39
ALGAB1;B30;;
ALGAC2;B30;0,64;2,08
ALGE16;B32;0,28;-1,53
ALGTA4;B32;0,62;0,83
ALIG12;B27;-0,07;5,85
ALIG13;B30;0,11;14,34
ALIG15;B32;0,05;2,94
ALUP18;B33;-0,03;0,21
ANET11;B27;1,33;2,28
ANET12;B29;1,54;1,61
APFD19;B29;0,51;6,22
APPSA2;B30;0,5;1,11
APRB18;B29;0,46;0,04
ARTR19;B27;0,43;7,55
ASAB11;B29;4,22;-15,96
ASCP13;B28;0,08;4,61
ASCP23;B32;0,32;0,33
ASER12;B35;2,63;3,78
ASSR21;B33;0,95;-3,82
ATHT11;B33;0,73;1,17
ATII12;B33;0,73;1,58
AURE12;B33;0,16;-3,44
BARU11;B40;1,21;-0,84
BCPSA5;B29;-0,02;1,51
BHSA11;B35;;
BLMN12;B28;;
BRFS31;B26;;
BRKP28;B33;1,59;-1,35
BRST11;B26;0,03;-1,31
CAEC12;B35;0,85;-2,81
CAEC21;B27;0,4;0,38
CAJS11;B33;0,62;15,47
CAJS12;B30;0,4;-1,39
CART13;B30;0,37;-4,65
CASN23;B29;1,45;-10,49
CBAN12;B30;0,45;1,07
CBAN32;B30;;
CBAN52;B30;0,47;-1,39
CBAN72;B30;0,44;-2,5
CCLS11;B30;2,09;-1,17
CCROA5;B32;0,25;2,38
CCROB4;B27;;
CCROB6;B33;-0,05;-2,47
CDES11;B35;0,44;3,39
CEAD11;B27;0,14;7,25
CEAP12;B30;0,02;-2,94
CEAP14;B32;0,3;-5,05
CEAP17;B35;0,39;0,54
CEAR26;B25;;
CEEBA1;B25;;
CEEBB6;B30;;
CEEBB7;B32;0,2;0,4
CEEBC3;B30;0,06;-3,59
CEEBC4;B30;0,1;-1,8
CEED12;B29;0,11;1,2
CEED13;B30;0,13;1,56
CEED15;B35;0,4;-1,89
CEED17;B35;0,37;-9,28
CEED21;B29;0,07;1,03
CEMT19;B25;;
CEPE19;B25;;
CEPEB3;B32;0,23;0,26
CEPEC1;B30;0,09;0,19
CEPEC2;B30;0,1;-1,33
CESE32;B30;;
CESPA2;B29;;
CESPA3;B33;0,03;5,86
CERT11;B29;0,21;1,23
CGASA1;B35;0,04;-2,64
CGASA2;B35;0,04;-2,26
CGASB1;B40;;
CGMG18;B28;0,01;4,63
CGOS13;B30;0,01;9,59
CGOS16;B35;0,26;-0,49
CGOS24;B30;0,1;4,03
CGOS28;B35;0,22;1,73
CGOS34;B33;0,23;0,81
CHSF13;B30;-0,12;-3,37
CJEN13;B30;1,23;1,36
CLAG13;B27;0,35;2,36
CLCD26;B29;0,09;-4,05
CLCD27;B33;;
CLNG11;B26;;
CLTM14;B33;1,22;-1,23
CMGD27;B25;0,43;3,65
CMGD28;B28;-0,17;1,0
CMGDB0;B33;-0,08;-0,49
CMGDB1;B35;0,04;-1,42
CMIN11;B32;0,52;-1,55
CMIN12;B32;0,66;9,7
CMIN21;B35;0,92;1,26
CMIN22;B35;0,87;3,74
CMTR29;B29;;
CNRD11;B30;;
COCE18;B30;0,3;5,5
COMR14;B32;0,3;1,2
COMR15;B33;0,32;-2,77
CONF11;B33;;
CONX12;B27;4,59;4,25
CPFGA2;B30;0,11;-0,47
CPFPA0;B25;;
CPFPA5;B32;-0,06;-1,29
CPFPA7;B33;0,0;-1,11
CPFPB7;B40;0,15;-3,32
CPGT15;B25;;
