Dados do evento,Data de pagamento,Prazos (dias úteis),Dias entre pagamentos,Expectativa de juros (%),Juros projetados,Amortizações,Fluxo descontado (R$),Ativo
Juros,16/06/2025,35,123,-,"38,464365","0,00000000","37,945486",VAMO33
Juros,15/12/2025,163,128,-,"40,052578","0,00000000","37,597639",VAMO33
Juros,15/06/2026,285,122,-,"38,146956","0,00000000","34,153066",VAMO33
Juros,15/12/2026,412,127,-,"39,734779","0,00000000","33,863955",VAMO33
Juros,15/06/2027,535,123,-,"38,464365","0,00000000","31,253354",VAMO33
Juros,15/12/2027,662,127,-,"39,734779","0,00000000","30,73307",VAMO33
Juros,16/06/2028,788,126,-,"39,41706","0,00000000","29,032536",VAMO33
Juros,15/12/2028,913,125,-,"39,099417","0,00000000","27,435012",VAMO33
Juros|Amortização,15/06/2029,1036,123,-,"38,464365","419,612073","306,438984",VAMO33
Juros,17/12/2029,1162,126,-,"26,278052","0,00000000","16,740361",VAMO33
Juros|Amortização,17/06/2030,1286,124,-,"25,85458","419,612703","270,451959",VAMO33
Juros,16/12/2030,1413,127,-,"13,244932","0,00000000","7,654575",VAMO33
Juros|Amortização,16/06/2031,1535,122,-,"12,715658","419,612703","238,300432",VAMO33
Juros,15/10/2025,121,127,-,"32,901665","0,00000000","31,835228",VALEC0
Juros,15/04/2026,245,124,-,"32,112502","0,00000000","30,039973",VALEC0
Juros,15/10/2026,371,126,-,"32,638546","0,00000000","29,502239",VALEC0
Juros,15/04/2027,494,123,-,"31,849578","0,00000000","27,840781",VALEC0
Juros,15/10/2027,621,127,-,"32,901665","0,00000000","27,782807",VALEC0
Juros,17/04/2028,747,126,-,"32,638546","0,00000000","26,631022",VALEC0
Juros,16/10/2028,872,125,-,"32,375492","0,00000000","25,53233",VALEC0
Juros,16/04/2029,994,122,-,"31,586719","0,00000000","24,096303",VALEC0
Juros,15/10/2029,1120,126,-,"32,638546","0,00000000","24,058884",VALEC0
Juros,15/04/2030,1243,123,-,"31,849578","0,00000000","22,703976",VALEC0
Juros,15/10/2030,1371,128,-,"33,164849","0,00000000","22,831714",VALEC0
Juros,15/04/2031,1494,123,-,"31,849578","0,00000000","21,203997",VALEC0
Juros,15/10/2031,1622,128,-,"33,164849","0,00000000","21,323296",VALEC0
Juros,15/04/2032,1747,125,-,"32,375492","0,00000000","20,119154",VALEC0
Juros,15/10/2032,1874,127,-,"32,901665","0,00000000","19,75112",VALEC0
Juros,18/04/2033,2000,126,-,"32,638546","0,00000000","18,932303",VALEC0
Juros,17/10/2033,2126,126,-,"32,638546","0,00000000","18,293728",VALEC0
Juros,17/04/2034,2251,125,-,"32,375492","0,00000000","17,539",VALEC0
Juros,16/10/2034,2376,125,-,"32,375492","0,00000000","16,952036",VALEC0
Juros,16/04/2035,2498,122,-,"31,586719","0,00000000","15,998595",VALEC0
Juros,15/10/2035,2624,126,-,"32,638546","0,00000000","15,973751",VALEC0
Juros,15/04/2036,2747,123,-,"31,849578","0,00000000","15,074168",VALEC0
Juros,15/10/2036,2875,128,-,"33,164849","0,00000000","15,158978",VALEC0
Juros,15/04/2037,2999,124,-,"32,112502","0,00000000","14,19062",VALEC0
Juros,15/10/2037,3125,126,-,"32,638546","0,00000000","13,936599",VALEC0
Juros,15/04/2038,3249,124,-,"32,112502","0,00000000","13,2567",VALEC0
Juros,15/10/2038,3375,126,-,"32,638546","0,00000000","13,019397",VALEC0
Juros,15/04/2039,3500,125,-,"32,375492","0,00000000","12,482268",VALEC0
Juros|Amortização,17/10/2039,3627,127,-,"32,901665","1.032,79506","396,909297",VALEC0
Juros,15/09/2025,99,126,-,"33,086235","0,00000000","32,187442",SUZBA0
Juros,16/03/2026,224,125,-,"32,819717","0,00000000","30,836978",SUZBA0
Juros,15/09/2026,350,126,-,"33,086235","0,00000000","30,016592",SUZBA0
Juros,15/03/2027,472,122,-,"32,02054","0,00000000","28,080382",SUZBA0
Juros,15/09/2027,600,128,-,"33,619465","0,00000000","28,451199",SUZBA0
Juros,15/03/2028,725,125,-,"32,819717","0,00000000","26,82517",SUZBA0
Juros,15/09/2028,852,127,-,"33,352818","0,00000000","26,314579",SUZBA0
Juros,15/03/2029,973,121,-,"31,754275","0,00000000","24,224076",SUZBA0
Juros,17/09/2029,1101,128,-,"33,619465","0,00000000","24,749774",SUZBA0
Juros,15/03/2030,1222,121,-,"31,754275","0,00000000","22,60288",SUZBA0
Juros,16/09/2030,1350,128,-,"33,619465","0,00000000","23,093396",SUZBA0
Juros,17/03/2031,1474,124,-,"32,553262","0,00000000","21,602808",SUZBA0
Juros,15/09/2031,1600,126,-,"33,086235","0,00000000","21,200207",SUZBA0
Juros,15/03/2032,1725,125,-,"32,819717","0,00000000","20,310726",SUZBA0
Juros,15/09/2032,1853,128,-,"33,619465","0,00000000","20,077833",SUZBA0
Juros,15/03/2033,1977,124,-,"32,553262","0,00000000","18,781888",SUZBA0
Juros,15/09/2033,2105,128,-,"33,619465","0,00000000","18,718496",SUZBA0
Juros,15/03/2034,2229,124,-,"32,553262","0,00000000","17,51029",SUZBA0
Juros,15/09/2034,2356,127,-,"33,352818","0,00000000","17,317596",SUZBA0
Juros,15/03/2035,2477,121,-,"31,754275","0,00000000","15,941839",SUZBA0
Juros,17/09/2035,2605,128,-,"33,619465","0,00000000","16,2878",SUZBA0
Juros,17/03/2036,2727,122,-,"32,02054","0,00000000","14,995488",SUZBA0
Juros|Amortização,15/09/2036,2853,126,-,"33,086235","361,835656","178,574824",SUZBA0
Juros,16/03/2037,2978,125,-,"21,87981","0,00000000","9,555434",SUZBA0
Juros|Amortização,15/09/2037,3104,126,-,"22,05749","361,835656","161,880415",SUZBA0
Juros,15/03/2038,3226,122,-,"10,673513","0,00000000","4,350625",SUZBA0
Juros|Amortização,15/09/2038,3354,128,-,"11,206488","361,835657","146,73631",SUZBA0
Juros,15/07/2025,55,123,-,"0,360271","0,00000000","0,353932",RISP12
Juros,15/01/2026,184,129,-,"0,378146","0,00000000","0,356344",RISP12
Juros,15/07/2026,307,123,-,"0,360271","0,00000000","0,326287",RISP12
