DATA,Tipo,Spread,Data_Str,Color
2024-04-29,Spread B25/DAP25,0.01639999999999997,2024-04-29,#003366
2024-04-30,Spread B25/DAP25,0.05520000000000014,2024-04-30,#003366
2024-05-02,Spread B25/DAP25,0.03410000000000046,2024-05-02,#003366
2024-05-06,Spread B25/DAP25,0.046499999999999986,2024-05-06,#003366
2024-05-07,Spread B25/DAP25,0.05750000000000011,2024-05-07,#003366
2024-05-15,Spread B25/DAP25,0.04549999999999965,2024-05-15,#003366
2024-05-21,Spread B25/DAP25,0.050799999999999734,2024-05-21,#003366
2024-05-23,Spread B25/DAP25,0.06379999999999963,2024-05-23,#003366
2024-05-24,Spread B25/DAP25,0.05069999999999997,2024-05-24,#003366
2024-05-27,Spread B25/DAP25,0.03509999999999991,2024-05-27,#003366
2024-05-28,Spread B25/DAP25,0.0693999999999999,2024-05-28,#003366
2024-06-03,Spread B25/DAP25,0.03709999999999969,2024-06-03,#003366
2024-06-04,Spread B25/DAP25,0.03310000000000013,2024-06-04,#003366
2024-06-05,Spread B25/DAP25,0.03799999999999937,2024-06-05,#003366
2024-06-06,Spread B25/DAP25,0.0461999999999998,2024-06-06,#003366
2024-06-10,Spread B25/DAP25,0.12049999999999983,2024-06-10,#003366
2024-06-11,Spread B25/DAP25,0.10250000000000004,2024-06-11,#003366
2024-06-14,Spread B25/DAP25,0.01639999999999997,2024-06-14,#003366
2024-06-27,Spread B25/DAP25,0.06040000000000045,2024-06-27,#003366
2024-06-28,Spread B25/DAP25,0.01670000000000016,2024-06-28,#003366
2024-07-08,Spread B25/DAP25,0.048799999999999955,2024-07-08,#003366
2024-07-09,Spread B25/DAP25,0.00649999999999995,2024-07-09,#003366
2024-07-12,Spread B25/DAP25,0.07750000000000057,2024-07-12,#003366
2024-07-17,Spread B25/DAP25,0.03560000000000052,2024-07-17,#003366
2024-07-23,Spread B25/DAP25,0.035200000000000564,2024-07-23,#003366
2024-07-24,Spread B25/DAP25,0.03160000000000007,2024-07-24,#003366
2024-07-25,Spread B25/DAP25,0.050499999999999545,2024-07-25,#003366
2024-07-26,Spread B25/DAP25,0.02010000000000023,2024-07-26,#003366
2024-07-30,Spread B25/DAP25,0.05039999999999978,2024-07-30,#003366
2024-08-02,Spread B25/DAP25,0.058400000000000674,2024-08-02,#003366
2024-08-05,Spread B25/DAP25,0.057800000000000296,2024-08-05,#003366
2024-08-07,Spread B25/DAP25,0.059200000000000585,2024-08-07,#003366
2024-08-08,Spread B25/DAP25,0.14220000000000077,2024-08-08,#003366
2024-08-14,Spread B25/DAP25,0.03739999999999988,2024-08-14,#003366
2024-08-21,Spread B25/DAP25,0.00730000000000075,2024-08-21,#003366
2024-08-23,Spread B25/DAP25,0.0042999999999997485,2024-08-23,#003366
2024-08-27,Spread B25/DAP25,0.020299999999999763,2024-08-27,#003366
2024-08-28,Spread B25/DAP25,0.026900000000000368,2024-08-28,#003366
2024-08-30,Spread B25/DAP25,0.052999999999999936,2024-08-30,#003366
2024-09-02,Spread B25/DAP25,0.02939999999999987,2024-09-02,#003366
2024-09-03,Spread B25/DAP25,-0.01580000000000048,2024-09-03,#003366
2024-09-04,Spread B25/DAP25,0.022799999999999265,2024-09-04,#003366
2024-09-05,Spread B25/DAP25,0.013600000000000279,2024-09-05,#003366
2024-09-06,Spread B25/DAP25,-0.0022999999999999687,2024-09-06,#003366
2024-09-09,Spread B25/DAP25,0.0034999999999998366,2024-09-09,#003366
2024-09-10,Spread B25/DAP25,-0.0015000000000000568,2024-09-10,#003366
2024-09-11,Spread B25/DAP25,0.07380000000000031,2024-09-11,#003366
2024-09-17,Spread B25/DAP25,0.08869999999999933,2024-09-17,#003366
2024-09-18,Spread B25/DAP25,0.0829999999999993,2024-09-18,#003366
2024-09-23,Spread B25/DAP25,0.05569999999999986,2024-09-23,#003366
2024-09-24,Spread B25/DAP25,0.025599999999999845,2024-09-24,#003366
2024-09-25,Spread B25/DAP25,-0.011400000000000077,2024-09-25,#003366
2024-09-26,Spread B25/DAP25,0.044500000000000206,2024-09-26,#003366
2024-09-30,Spread B25/DAP25,-0.03739999999999988,2024-09-30,#003366
2024-10-01,Spread B25/DAP25,0.023100000000000342,2024-10-01,#003366
2024-10-02,Spread B25/DAP25,0.04999999999999982,2024-10-02,#003366
2024-10-03,Spread B25/DAP25,0.024399999999999977,2024-10-03,#003366
2024-10-04,Spread B25/DAP25,0.019000000000000128,2024-10-04,#003366
2024-10-08,Spread B25/DAP25,0.012900000000000134,2024-10-08,#003366
2024-10-09,Spread B25/DAP25,-0.000700000000000145,2024-10-09,#003366
2024-10-10,Spread B25/DAP25,0.0508999999999995,2024-10-10,#003366
2024-10-11,Spread B25/DAP25,0.055000000000000604,2024-10-11,#003366
2024-10-14,Spread B25/DAP25,0.053600000000000314,2024-10-14,#003366
2024-10-15,Spread B25/DAP25,0.03109999999999946,2024-10-15,#003366
2024-10-16,Spread B25/DAP25,0.04019999999999957,2024-10-16,#003366
2024-10-17,Spread B25/DAP25,0.06660000000000021,2024-10-17,#003366
2024-10-18,Spread B25/DAP25,0.036599999999999966,2024-10-18,#003366
2024-10-21,Spread B25/DAP25,0.057800000000000296,2024-10-21,#003366
2024-10-22,Spread B25/DAP25,0.029300000000000104,2024-10-22,#003366
2024-10-23,Spread B25/DAP25,0.06610000000000049,2024-10-23,#003366
2024-10-24,Spread B25/DAP25,0.06990000000000052,2024-10-24,#003366
2024-10-25,Spread B25/DAP25,-0.021100000000000563,2024-10-25,#003366
2024-10-28,Spread B25/DAP25,0.0022999999999999687,2024-10-28,#003366
2024-10-29,Spread B25/DAP25,0.029000000000000803,2024-10-29,#003366
2024-10-30,Spread B25/DAP25,0.0038000000000000256,2024-10-30,#003366
2024-10-31,Spread B25/DAP25,0.030899999999999928,2024-10-31,#003366
2024-11-05,Spread B25/DAP25,0.039400000000000546,2024-11-05,#003366
2024-11-08,Spread B25/DAP25,0.12330000000000041,2024-11-08,#003366
2024-11-11,Spread B25/DAP25,0.023399999999999643,2024-11-11,#003366
2024-11-12,Spread B25/DAP25,0.00849999999999973,2024-11-12,#003366
2024-11-14,Spread B25/DAP25,0.025500000000000078,2024-11-14,#003366
2024-11-18,Spread B25/DAP25,-0.0378999999999996,2024-11-18,#003366
2024-11-21,Spread B25/DAP25,0.03049999999999997,2024-11-21,#003366
2024-11-22,Spread B25/DAP25,-0.006199999999999761,2024-11-22,#003366
2024-11-25,Spread B25/DAP25,0.0031999999999996476,2024-11-25,#003366
2024-11-27,Spread B25/DAP25,-0.014000000000000234,2024-11-27,#003366
2024-12-03,Spread B25/DAP25,-0.0026999999999999247,2024-12-03,#003366
2024-12-04,Spread B25/DAP25,-0.03939999999999966,2024-12-04,#003366
2024-12-05,Spread B25/DAP25,-0.1388000000000007,2024-12-05,#003366
2024-12-06,Spread B25/DAP25,0.012100000000000222,2024-12-06,#003366
2024-12-09,Spread B25/DAP25,0.11030000000000051,2024-12-09,#003366
2024-12-11,Spread B25/DAP25,0.08169999999999966,2024-12-11,#003366
2025-01-08,Spread B25/DAP25,-0.06479999999999997,2025-01-08,#003366
2025-01-09,Spread B25/DAP25,-0.02629999999999999,2025-01-09,#003366
2025-01-13,Spread B25/DAP25,0.0517000000000003,2025-01-13,#003366
2025-01-14,Spread B25/DAP25,0.025900000000000034,2025-01-14,#003366
2025-01-15,Spread B25/DAP25,-0.14340000000000064,2025-01-15,#003366
2025-01-17,Spread B25/DAP25,-0.09590000000000032,2025-01-17,#003366
2025-01-20,Spread B25/DAP25,-0.09360000000000035,2025-01-20,#003366
