Data,Tipo,Valor Futuro,Ativo,Dias,Dias Úteis,Taxa,VP
2025-04-15,Juros|Amortização,15.715326,CRA Ferroeste 2ª Série,28,21,0.09630000000000001,15.595379353165868
2026-04-15,Juros|Amortização,15.460294,CRA Ferroeste 2ª Série,393,270,0.09630000000000001,14.009938643123757
2027-04-15,Juros|Amortização,75.75103,CRA Ferroeste 2ª Série,758,517,0.09630000000000001,62.72921654305695
2028-04-15,Juros|Amortização,72.824742,CRA Ferroeste 2ª Série,1124,767,0.09630000000000001,55.04878801768577
2029-04-15,Juros|Amortização,69.68167700000001,CRA Ferroeste 2ª Série,1489,1013,0.09630000000000001,48.151374350462824
2030-04-15,Juros|Amortização,66.538611,CRA Ferroeste 2ª Série,1854,1261,0.09630000000000001,42.00182973619393
2031-04-15,Juros|Amortização,63.3828,CRA Ferroeste 2ª Série,2219,1510,0.09630000000000001,36.535229195791125
2026-01-15,Juros|Amortização,15.970408,CRA Ferroeste 2ª Série,303,209,0.09630000000000001,14.79789527918346
2027-01-15,Juros|Amortização,76.753573,CRA Ferroeste 2ª Série,668,456,0.09630000000000001,64.98982629481628
2028-01-15,Juros|Amortização,73.967659,CRA Ferroeste 2ª Série,1033,705,0.09630000000000001,57.191907872670726
2029-01-15,Juros|Amortização,70.212437,CRA Ferroeste 2ª Série,1399,952,0.09630000000000001,49.610041907665206
2030-01-15,Juros|Amortização,67.247868,CRA Ferroeste 2ª Série,1764,1199,0.09630000000000001,43.42070824615809
2031-01-15,Juros|Amortização,64.181312,CRA Ferroeste 2ª Série,2129,1449,0.09630000000000001,37.82809400494374
2025-07-15,Juros|Amortização,15.460294,CRA Ferroeste 2ª Série,119,82,0.09630000000000001,15.00461456368385
2026-07-15,Juros|Amortização,78.325106,CRA Ferroeste 2ª Série,484,332,0.09630000000000001,69.38978992980407
2027-07-15,Juros|Amortização,75.386107,CRA Ferroeste 2ª Série,849,580,0.09630000000000001,61.00849113015434
2028-07-15,Juros|Amortização,72.038975,CRA Ferroeste 2ª Série,1215,829,0.09630000000000001,53.2368595493809
2029-07-15,Juros|Amortização,68.997943,CRA Ferroeste 2ª Série,1580,1076,0.09630000000000001,46.5954900150991
2030-07-15,Juros|Amortização,65.75284500000001,CRA Ferroeste 2ª Série,1945,1323,0.09630000000000001,40.5774848796199
2025-10-15,Juros|Amortização,16.735964,CRA Ferroeste 2ª Série,211,148,0.09630000000000001,15.856236861551237
2026-10-15,Juros|Amortização,78.024045,CRA Ferroeste 2ª Série,576,396,0.09630000000000001,67.52774379398963
2027-10-15,Juros|Amortização,74.778936,CRA Ferroeste 2ª Série,941,644,0.09630000000000001,59.12041111256913
2028-10-15,Juros|Amortização,71.39350400000001,CRA Ferroeste 2ª Série,1307,892,0.09630000000000001,51.56099003524589
2029-10-15,Juros|Amortização,68.199423,CRA Ferroeste 2ª Série,1672,1140,0.09630000000000001,44.99327815767902
2030-10-15,Juros|Amortização,65.120174,CRA Ferroeste 2ª Série,2037,1389,0.09630000000000001,39.23091383064496
2025-04-16,Juros|Amortização,4.49346,CRI Bem Brasil,29,22,0.09029999999999999,4.45967338819516
2026-04-16,Juros|Amortização,3.594766,CRI Bem Brasil,394,271,0.09029999999999999,3.2756218785452904
2027-04-16,Juros|Amortização,2.824752,CRI Bem Brasil,759,518,0.09029999999999999,2.364843530917432
2028-08-16,Juros|Amortização,1.797377,CRI Bem Brasil,1247,852,0.09029999999999999,1.341831247049245
2029-08-16,Juros|Amortização,0.941576,CRI Bem Brasil,1612,1100,0.09029999999999999,0.6456007965758033
