Dados do evento,Data de pagamento,Prazos (dias úteis),Dias entre pagamentos,Expectativa de juros (%),Juros projetados,Amortizações,Fluxo descontado (R$),Ativo
Juros|Amortização,17/03/2025,7,124,-,"30,278992","105,527263","135,518392",EQUA11
Juros|Amortização,17/03/2025,7,124,-,"26,00889","70,573738","96,387741",EXTZ11
Juros|Amortização,17/03/2025,7,124,-,"39,182734","7,167641","46,243737",GBSP11
Juros|Amortização,17/03/2025,7,252,-,"39,795881","723,561485","762,207684",GEPA28
Juros|Amortização,17/03/2025,7,124,-,"38,979715","110,067718","148,740869",LGEN11
Juros|Amortização,17/03/2025,7,124,-,"20,281128","149,090294","168,999261",NRTB11
Juros|Amortização,17/03/2025,7,124,-,"24,083276","177,040553","200,709226",NRTB21
Juros|Amortização,17/03/2025,7,124,-,"33,673833","80,837846","114,277272",ODYA11
Juros|Amortização,17/03/2025,7,124,-,"22,392982","96,846357","118,988044",PRTE12
Juros|Amortização,17/03/2025,7,124,-,"20,121666","25,180091","45,202043",SAVI13
Juros|Amortização,17/03/2025,7,124,-,"30,302414","84,96534","115,03659",SPRZ11
Juros|Amortização,17/03/2025,7,7,-,"36,093594","24,655104","60,613664",STRZ11
Juros|Amortização,17/03/2025,7,124,-,"37,468872","70,508735","107,758425",TPEN11
Juros|Amortização,17/03/2025,7,124,-,"37,468872","70,508735","107,759766",TRCC11
Juros|Amortização,17/03/2025,7,124,-,"21,933516","211,405609","232,838111",UNTE11
Juros,17/03/2025,7,124,-,"34,792991","0,00000000","34,716872",APFD19
Juros,17/03/2025,7,7,-,"28,961223","0,00000000","28,898151",CGOS28
Juros,17/03/2025,7,7,-,"30,28964","0,00000000","30,226075",CMGDB1
Juros,17/03/2025,7,124,-,"10,421453","0,00000000","10,401757",CPGT15
Juros,17/03/2025,7,124,-,"47,995728","0,00000000","47,829179",CPTM15
Juros,17/03/2025,7,124,-,"21,171958","0,00000000","21,128311",CPXB22
Juros,17/03/2025,7,61,-,"17,935188","0,00000000","17,895347",CSMGB8
Juros,17/03/2025,7,124,-,"30,698443","0,00000000","30,632997",CSRNB2
Juros,17/03/2025,7,124,-,"34,996847","0,00000000","34,924708",CTGE13
Juros,17/03/2025,7,124,-,"11,597296","0,00000000","11,575179",CTNS14
Juros,17/03/2025,7,124,-,"11,597296","0,00000000","11,574221",EDVP14
Juros,17/03/2025,7,124,-,"32,801525","0,00000000","32,734058",ELET14
Juros,17/03/2025,7,7,-,"27,659975","0,00000000","27,602642",ELET16
Juros,17/03/2025,7,124,-,"36,844745","0,00000000","36,758665",ENAT12
